Forma de pago o diario,Correspondiente en Spooler
Efectivo,Efectivo Bs
Efectivo Bs,Efectivo Bs
Efectivo VEF,Efectivo Bs
Efectivo USD,Efectivo USD
Efectivo $,Efectivo USD
Efectivo EUR,Efectivo EUR
Transferencia,Transferencia en Bs
Transferencia Bs,Transferencia en Bs
Transferencia VEF,Transferencia en Bs
Transferencia USD,Transferencia en USD
Transferencia $,Transferencia en USD
Transferencia en dolares,Transferencia en USD
Banco,Transferencia en Bs
Banco Bs,Transferencia en Bs
Banco USD,Transferencia en USD
Banco $,Transferencia en USD
Banco EUR,Transferencia en EUR
Zelle,Zelle
Pago movil,Pago movil
Credito,Credito
Crédito,Credito
Point of Sale,Efectivo Bs
Banesco,Transferencia en Bs
Banesco Bs,Transferencia en Bs
Banesco USD,Transferencia en USD
Banesco $,Transferencia en USD
Banesco EUR,Transferencia en EUR
Banco Bicentenario,Transferencia en Bs
Banco Bicentenario Bs,Transferencia en Bs
Banco Bicentenario USD,Transferencia en USD
Banco Bicentenario $,Transferencia en USD
Banco del Tesoro,Transferencia en Bs
Banco del Tesoro Bs,Transferencia en Bs
Banco del Tesoro USD,Transferencia en USD
Banco del Tesoro $,Transferencia en USD
Banco Fondo Comun,Transferencia en Bs
Banco Fondo Comun Bs,Transferencia en Bs
Banco Fondo Comun USD,Transferencia en USD
Banco Fondo Comun $,Transferencia en USD
Banco Mercantil,Transferencia en Bs
Banco Mercantil Bs,Transferencia en Bs
Banco Mercantil USD,Transferencia en USD
Banco Mercantil $,Transferencia en USD
Banco Venezuela,Transferencia en Bs
Banco Venezuela Bs,Transferencia en Bs
Banco Venezuela USD,Transferencia en USD
Banco Venezuela $,Transferencia en USD
Banco Venezuela EUR,Transferencia en EUR
Banco del Caribe,Transferencia en Bs
Banco del Caribe Bs,Transferencia en Bs
Banco del Caribe USD,Transferencia en USD
Banco del Caribe $,Transferencia en USD
Banco del Caribe EUR,Transferencia en EUR
Retención IVA ventas,Transferencia en Bs
Facturas de cliente,Transferencia en Bs
